"","id","start_date","end_date","slope","slope_error","intercept","intercept_error","r2","dpoints"
"1","G007026E45991N ",1984,2019,-0.0552789645020649,0.0146931629990969,9.0685685911575,0.260823830063029,0.0396308411360367,345
"2","G008132E61573N ",1984,2019,-0.03113818554082,0.00925757342778781,7.23381227502583,0.176316630372458,0.0705703887469584,151
"3","G014028E66722N ",1984,2019,-0.0682388522196393,0.00959851173719251,9.91500462180971,0.167181499657694,0.159167333463819,269
"4","G014367E66003N ",1984,2019,-0.0367995564549546,0.00847384823767131,3.69502132277001,0.145929809043577,0.0902963397269985,192
"5","G017468E67583N ",1984,2019,-0.0065793924993384,0.00418653307540701,1.27607207714685,0.06944155626556,0.0121384314516767,203
"6","G017571E67471N ",1984,2019,-0.101289037284259,0.0266239506623788,9.33271428354009,0.429517630632957,0.0839183584643604,160
"7","G017655E67172N ",1984,2019,-0.20053078570327,0.0591105807188957,13.5632266114766,0.915825853380145,0.0708197943068036,153
"8","G017655E67449N ",1984,2019,-0.0773606977717408,0.0187449077462523,6.5473921526508,0.292519411089676,0.0873308175410066,180
"9","G017693E67415N ",1984,2019,-0.0651262782894236,0.0256532839789183,10.5409234451394,0.415945153129977,0.0425570473338165,147
"10","G018325E68360N ",1984,2019,-0.0173085015990224,0.00497002931403433,1.62844947649173,0.0826806132674186,0.055348074059359,209
"11","G018384E68049N ",1984,2019,-0.0105128896380214,0.00696282245268987,1.82960037634625,0.11383467191201,0.0121725877423492,187
"12","G018399E67969N ",1984,2019,-0.0143551936862043,0.0054561533579441,1.7524062101688,0.0868414469517459,0.0358808514343663,188
"13","G018428E68052N ",1984,2019,-0.0078012575642166,0.00819032839890862,2.07535525639207,0.133963104084189,0.00509956295446174,179
"14","G018434E67976N ",1984,2019,-0.00975734094816789,0.00549361073879042,1.63927575781774,0.0880343301864199,0.0161647262932283,194
"15","G018564E67915N ",1984,2019,-0.0134005779352212,0.00381610442360175,1.48095441461568,0.0582567991980706,0.0586276904908129,200
"16","G018569E67903N ",1984,2019,-0.0419321587778391,0.0126984835555841,4.32613984069492,0.187400045117319,0.0532157301509782,196
"17","G018574E68151N ",1984,2019,-0.0266401199176353,0.0101646352905389,2.33485517094131,0.1719784406384,0.0343671464653532,195
"18","G018603E67938N ",1984,2019,-0.00473513216556489,0.00275961938939103,0.682240765490951,0.0439918342730573,0.0207418846401646,141
"19","G018686E68081N ",1984,2019,-0.0246936440491591,0.0208407821891326,5.75238253310865,0.331842811542888,0.00939680783419352,150
"20","G037314E00157S ",1984,2019,-0.00646648521536826,0.00106173207867773,0.111340335879865,0.0124596439820399,0.28513371202173,95
"21","G070137E39532N ",1988,2019,-0.177722863518011,0.0599941896510242,7.39206893833885,0.815404856553508,0.0488132690720495,173
"22","G071570E39610N ",1988,2019,-0.0567234569835409,0.105192839857796,60.446641311334,1.25260298102881,0.0022665098072309,130
"23","G072469E38099N ",1989,2019,-0.0562534382763621,0.0206570908641725,7.80136384716764,0.273988901907575,0.124812375492882,54
"24","G072533E38016N ",1993,2019,-0.0325860283221578,0.0285719918467457,13.3772252420132,0.362726217819931,0.0280927424475053,47
"25","G072559E37965N ",1989,2019,-0.0110058532444944,0.0084169563356302,2.77850653702102,0.104421457594281,0.0281629867252461,61
"26","G072629E37727N ",1989,2019,-0.0091540260291337,0.00684244706232604,1.96528139257799,0.0857441255482556,0.013478349662955,133
"27","G072699E37702N ",1993,2019,-0.0186842471899099,0.0175780355466883,4.68688841806949,0.219105413292062,0.0111720091671648,102
"28","G072709E38006N ",1993,2019,-0.00362843715247263,0.0144102173860278,6.23488589228859,0.176277930782233,0.000653194681035614,99
"29","G072711E37680N ",1989,2019,-0.037827221060953,0.0268634144493833,9.7347126052808,0.356546513493831,0.0188872250842198,105
"30","G072722E37654N ",1989,2019,-0.0444921592689071,0.04305645442678,24.4278279161033,0.551416827561406,0.0103601830005696,104
"31","G072742E37625N ",1989,2019,-0.0520366533087832,0.0315242811084247,13.0033426415874,0.399822921433366,0.0222022065577807,122
"32","G072746E37985N ",1989,2019,-0.0192860324091772,0.0129913012209626,6.74645721785035,0.168297288984227,0.018334206978196,120
"33","G072867E39103N ",1989,2018,0.00731169114050807,0.00889877689075326,3.19739845887589,0.145693346960266,0.0326533086664519,22
"34","G072988E38874N ",1989,2019,-0.00419102906917285,0.00432752242928391,1.55273310582502,0.0490746440939957,0.00710874736430519,133
"35","G073097E38055N ",1989,2019,-0.0579094557450823,0.0184525813973442,2.67073918670284,0.233733489236649,0.0640162905285577,146
"36","G073183E39306N ",1989,2019,-0.0118392383236621,0.0108400239774063,3.70723583010547,0.131094250749088,0.011905572817082,101
"37","G073199E37935N ",1989,2019,-0.0252937239129859,0.00617637191548448,1.93597307825258,0.0744396102257774,0.0511667882798137,313
"38","G073387E38467N ",1993,2019,-0.0738776671611036,0.0629728175576133,16.7640647658431,0.675215226950462,0.00927588796112687,149
"39","G073432E38444N ",1993,2019,-0.0496017703384244,0.0667532177557064,18.2166769175974,0.742925814331463,0.00292831961137754,190
"40","G073461E38435N ",1993,2019,-0.0608174156656722,0.0823139047148576,18.2709154918745,0.952238009467682,0.00312751841089858,176
"41","G073500E38440N ",1993,2019,-0.0296329549453673,0.0492355402252764,11.7204236820863,0.532539828317882,0.00347095615655181,106
"42","G073528E38455N ",1993,2019,-0.0281134615911642,0.0162274935833648,3.68868478056249,0.177145418441825,0.0288593479727192,103
"43","G073548E38446N ",1993,2019,-0.0533877443538051,0.0367601284912036,11.0851830629965,0.400480375803229,0.0134254030723834,157
