"","X","dates","areas","time"
"1",1,1984.2650273224,5.3163,-35.7349726775956
"2",2,1984.37704918033,5.0139,-35.622950819672
"3",3,1984.39617486339,4.6611,-35.6038251366119
"4",4,1984.40163934426,4.5657,-35.5983606557377
"5",5,1984.42076502732,3.9348,-35.5792349726776
"6",6,1984.48360655738,3.3669,-35.516393442623
"7",7,1984.70765027322,1.8342,-35.2923497267759
"8",8,1984.81420765027,1.3815,-35.1857923497269
"9",9,1985.16438356164,3.2364,-34.8356164383561
"10",10,1985.4904109589,3.2274,-34.509589041096
"11",11,1985.55890410959,2.2815,-34.4410958904109
"12",12,1985.75890410959,4.5441,-34.2410958904109
"13",13,1986.19726027397,5.1165,-33.8027397260273
"14",14,1986.24109589041,3.9105,-33.7589041095891
"15",15,1986.41643835616,5.3208,-33.5835616438355
"16",16,1986.47945205479,3.7827,-33.5205479452054
"17",17,1986.50410958904,3.7269,-33.495890410959
"18",18,1986.54794520548,2.8674,-33.4520547945206
"19",19,1986.56712328767,2.7837,-33.4328767123288
"20",20,1986.65479452055,1.944,-33.345205479452
"21",21,1987.2,2.9646,-32.8
"22",22,1987.4,5.1534,-32.5999999999999
"23",23,1987.41917808219,5.3289,-32.5808219178082
"24",24,1987.53150684932,3.8412,-32.4684931506849
"25",25,1988.14480874317,1.4805,-31.8551912568305
"26",26,1988.1693989071,2.8845,-31.8306010928961
"27",27,1988.43169398907,4.4874,-31.5683060109291
"28",28,1988.51366120219,2.6793,-31.4863387978141
"29",29,1988.53825136612,1.953,-31.4617486338798
"30",30,1988.60655737705,1.2816,-31.3934426229507
"31",31,1988.6693989071,1.5075,-31.3306010928961
"32",32,1988.78142076503,0.8109,-31.2185792349726
"33",33,1989.76438356164,2.1357,-30.2356164383561
"34",34,1990.44109589041,4.5702,-29.5589041095891
"35",35,1990.53424657534,4.0203,-29.4657534246576
"36",36,1991.58082191781,2.4822,-28.4191780821918
"37",37,1991.58630136986,2.322,-28.4136986301369
"38",38,1992.41803278689,4.9464,-27.5819672131147
"39",39,1992.54371584699,4.7565,-27.4562841530055
"40",40,1993.6,2.5434,-26.4000000000001
"41",41,1993.73150684932,3.087,-26.2684931506849
"42",42,1993.75068493151,1.8702,-26.2493150684932
"43",43,1993.7698630137,2.0844,-26.2301369863014
"44",44,1994.3397260274,4.9176,-25.6602739726027
"45",45,1994.60821917808,2.2392,-25.3917808219178
"46",46,1994.62739726027,2.0916,-25.3726027397261
"47",47,1994.65205479452,1.692,-25.3479452054794
"48",48,1994.67123287671,3.2661,-25.3287671232877
"49",49,1994.73424657534,4.8375,-25.2657534246575
"50",50,1995.34794520548,5.0472,-24.6520547945206
"51",51,1995.57260273973,2.5704,-24.4273972602739
"52",52,1995.74794520548,2.2968,-24.2520547945205
"53",53,1995.78630136986,1.5156,-24.2136986301371
"54",54,1996.59836065574,2.7036,-23.4016393442623
"55",55,1996.6174863388,1.4517,-23.3825136612022
"56",56,1997.44931506849,4.6179,-22.5506849315068
"57",57,1997.54246575342,2.0358,-22.4575342465753
"58",58,1997.66849315068,1.0854,-22.331506849315
"59",59,1997.67397260274,0.8784,-22.3260273972603
"60",60,1998.28219178082,5.3802,-21.7178082191781
"61",61,1998.65753424658,1.3977,-21.3424657534247
"62",62,1999.53150684932,1.5534,-20.4684931506849
"63",63,1999.61917808219,3.5055,-20.3808219178081
"64",64,1999.71232876712,0.6939,-20.2876712328766
