"","X","dates","areas","time"
"1",1,1999.64931506849,1.7676,-20.3506849315067
"2",2,1999.73698630137,3.1419,-20.2630136986302
"3",3,1999.93150684932,2.3265,-20.0684931506848
"4",4,1999.95616438356,2.3508,-20.0438356164384
"5",5,2000.01912568306,1.917,-19.9808743169399
"6",6,2000.04371584699,1.8261,-19.9562841530055
"7",7,2000.10655737705,1.4454,-19.8934426229507
"8",8,2000.13114754098,1.3239,-19.8688524590164
"9",9,2000.15027322404,1.5309,-19.8497267759562
"10",10,2000.28142076503,0.657,-19.7185792349726
"11",11,2000.36885245902,0.8937,-19.6311475409836
"12",12,2000.39344262295,0.9873,-19.6065573770493
"13",13,2000.52459016393,1.5705,-19.4754098360656
"14",14,2000.58743169399,1.0215,-19.4125683060108
"15",15,2000.63114754098,1.7685,-19.3688524590164
"16",16,2000.71857923497,3.1806,-19.2814207650274
"17",17,2000.80601092896,3.9141,-19.1939890710382
"18",18,2000.8306010929,3.7485,-19.1693989071039
"19",19,2001.00547945205,2.8575,-18.9945205479453
"20",20,2001.02465753425,2.3409,-18.9753424657533
"21",21,2001.13698630137,1.5849,-18.8630136986301
"22",22,2001.2,1.1088,-18.8
"23",23,2001.24383561644,1.6263,-18.7561643835616
"24",24,2001.33150684932,0.6111,-18.668493150685
"25",25,2001.4,0.6957,-18.5999999999999
"26",26,2001.41917808219,2.3238,-18.5808219178082
"27",27,2001.46301369863,1.0269,-18.5369863013698
"28",28,2001.48767123288,0.6912,-18.5123287671233
"29",29,2001.50684931507,3.465,-18.4931506849316
"30",30,2001.53150684932,0.6327,-18.4684931506849
"31",31,2001.61917808219,1.2357,-18.3808219178081
"32",32,2001.66301369863,2.0376,-18.33698630137
"33",33,2001.68219178082,2.4732,-18.317808219178
"34",34,2001.72602739726,2.7621,-18.2739726027398
"35",35,2001.75068493151,2.9313,-18.2493150684932
"36",36,2001.81369863014,2.7459,-18.186301369863
"37",37,2001.94520547945,2.9655,-18.0547945205481
"38",38,2001.9698630137,2.1744,-18.0301369863014
"39",39,2002.07671232877,1.6632,-17.9232876712329
