"","X","dates","areas","time"
"1",1,1989.40821917808,8.343,-30.5917808219178
"2",2,1990.24109589041,8.3412,-29.7589041095891
"3",3,1993.43835616438,8.3475,-26.5616438356165
"4",4,1993.74520547945,5.7384,-26.2547945205479
"5",5,1994.35890410959,8.3799,-25.641095890411
"6",6,1994.40273972603,8.3394,-25.5972602739726
"7",7,1994.44657534247,8.3457,-25.5534246575342
"8",8,1994.4904109589,8.1198,-25.509589041096
"9",9,1994.57808219178,6.8328,-25.4219178082192
"10",10,1994.66575342466,5.8365,-25.3342465753424
"11",11,1995.36712328767,8.3115,-24.6328767123289
"12",12,1996.68032786885,6.1065,-23.3196721311476
"13",13,1996.72404371585,5.6376,-23.2759562841529
"14",14,1997.51232876712,8.0577,-22.4876712328767
"15",15,1997.68767123288,5.7159,-22.3123287671233
"16",16,1998.38904109589,8.3799,-21.6109589041096
"17",17,1998.60821917808,7.2675,-21.3917808219178
"18",18,1998.69589041096,6.0984,-21.304109589041
"19",19,1998.7397260274,6.2514,-21.2602739726028
"20",20,1998.78356164384,5.7024,-21.2164383561644
"21",21,1999.68219178082,6.9084,-20.317808219178
"22",22,2000.01092896175,5.3343,-19.9890710382513
"23",23,2000.22950819672,8.3133,-19.7704918032787
"24",24,2000.27322404372,8.2494,-19.7267759562842
"25",25,2000.4043715847,8.3367,-19.5956284153006
"26",26,2000.64480874317,6.0687,-19.3551912568305
"27",27,2000.81967213115,7.1271,-19.1803278688524
"28",28,2000.90710382514,6.5331,-19.0928961748634
"29",29,2001.1698630137,7.893,-18.8301369863013
"30",30,2001.41095890411,8.2377,-18.5890410958905
"31",31,2001.56438356164,6.6231,-18.4356164383562
"32",32,2001.67397260274,6.3288,-18.3260273972603
"33",33,2001.7397260274,6.5115,-18.2602739726028
"34",34,2002.44109589041,8.3646,-17.5589041095891
"35",35,2002.6602739726,6.1416,-17.3397260273973
"36",36,2003.66849315068,6.3927,-16.331506849315
"37",37,2003.71232876712,6.9831,-16.2876712328766
"38",38,2004.36885245902,8.3664,-15.6311475409836
"39",39,2004.45628415301,8.3385,-15.5437158469945
"40",40,2004.67486338798,6.5151,-15.3251366120219
"41",41,2005.59452054795,7.3071,-14.4054794520548
"42",42,2005.63835616438,6.6834,-14.3616438356164
"43",43,2005.68219178082,6.003,-14.317808219178
"44",44,2005.72602739726,6.138,-14.2739726027398
"45",45,2005.94520547945,6.066,-14.0547945205481
"46",46,2006.29589041096,8.3772,-13.7041095890411
"47",47,2006.55890410959,7.5276,-13.4410958904109
"48",48,2006.60273972603,6.2613,-13.3972602739725
"49",49,2006.64657534247,5.7123,-13.3534246575343
"50",50,2006.6904109589,6.354,-13.3095890410959
"51",51,2007.30410958904,8.3367,-12.695890410959
"52",52,2007.65479452055,5.9148,-12.345205479452
"53",53,2007.69863013699,5.4117,-12.3013698630136
"54",54,2007.74246575342,5.2002,-12.2575342465752
"55",55,2007.78630136986,5.9076,-12.2136986301371
