"","X","dates","areas","time"
"1",1,1988.8825136612,4.5927,-31.1174863387978
"2",2,1992.15027322404,6.0039,-27.8497267759562
"3",3,1993.43835616438,5.841,-26.5616438356165
"4",4,1993.74520547945,3.5415,-26.2547945205479
"5",5,1993.78904109589,5.5134,-26.2109589041097
"6",6,1994.40273972603,5.8437,-25.5972602739726
"7",7,1994.66575342466,3.5307,-25.3342465753424
"8",8,1995.36712328767,5.7708,-24.6328767123289
"9",9,1996.00546448087,3.9087,-23.9945355191257
"10",10,1996.68032786885,4.1121,-23.3196721311476
"11",11,1996.72404371585,3.9717,-23.2759562841529
"12",12,1997.68767123288,3.9762,-22.3123287671233
"13",13,1998.69589041096,4.2021,-21.304109589041
"14",14,1999.2904109589,5.9805,-20.7095890410958
"15",15,1999.33424657534,5.9976,-20.6657534246576
"16",16,2000.64480874317,4.4208,-19.3551912568305
"17",17,2000.6693989071,4.4046,-19.3306010928961
"18",18,2001.56438356164,4.1895,-18.4356164383562
"19",19,2001.76438356164,4.212,-18.2356164383561
"20",20,2001.85205479452,5.3802,-18.1479452054793
"21",21,2002.42191780822,5.9499,-17.5780821917808
"22",22,2002.64109589041,4.4055,-17.358904109589
"23",23,2002.6602739726,4.1949,-17.3397260273973
"24",24,2003.66849315068,3.2922,-16.331506849315
"25",25,2004.36885245902,4.2003,-15.6311475409836
"26",26,2004.69945355191,3.0978,-15.3005464480875
"27",27,2005.04931506849,3.2418,-14.9506849315069
"28",28,2005.59452054795,3.3849,-14.4054794520548
"29",29,2005.63835616438,3.3192,-14.3616438356164
"30",30,2005.68219178082,3.1203,-14.317808219178
"31",31,2005.9698630137,2.5488,-14.0301369863014
"32",32,2006.32054794521,3.8799,-13.6794520547944
"33",33,2006.51506849315,3.5586,-13.4849315068493
"34",34,2006.6904109589,2.9529,-13.3095890410959
"35",35,2007.08493150685,3.3723,-12.9150684931508
"36",36,2007.28493150685,4.2687,-12.7150684931507
"37",37,2007.54794520548,3.2904,-12.4520547945206
"38",38,2007.59178082192,3.5019,-12.4082191780822
"39",39,2007.63561643836,2.9664,-12.3643835616438
"40",40,2007.69863013699,3.2805,-12.3013698630136
"41",41,2007.74246575342,2.4408,-12.2575342465752
"42",42,2007.76712328767,2.0853,-12.2328767123288
"43",43,2008.48633879781,3.7881,-11.5136612021859
"44",44,2008.50819672131,4.4748,-11.4918032786886
"45",45,2008.5737704918,2.3175,-11.4262295081967
"46",46,2008.59836065574,2.1114,-11.4016393442623
"47",47,2008.92349726776,3.5289,-11.0765027322404
"48",48,2010.63287671233,3.4524,-9.36712328767112
"49",49,2010.87397260274,4.8015,-9.12602739726026
"50",50,2010.87671232877,2.9673,-9.1232876712329
"51",51,2011.31232876712,5.9652,-8.68767123287671
"52",52,2011.31506849315,3.7908,-8.68493150684935
"53",53,2011.33698630137,5.9382,-8.66301369863004
"54",54,2011.59726027397,3.2229,-8.40273972602745
"55",55,2011.64109589041,2.3832,-8.35890410958905
"56",56,2011.64383561644,3.465,-8.35616438356169
"57",57,2011.68493150685,2.2284,-8.31506849315065
"58",58,2011.75068493151,3.843,-8.24931506849316
"59",59,2011.75342465753,2.5992,-8.2465753424658
"60",60,2012.49726775956,3.7656,-7.50273224043713
"61",61,2012.64754098361,3.4254,-7.35245901639337
"62",62,2013.3698630137,5.9562,-6.6301369863013
"63",63,2013.41369863014,5.9418,-6.58630136986312
"64",64,2013.43561643836,4.1382,-6.56438356164381
"65",65,2013.45753424658,6.0039,-6.54246575342472
"66",66,2013.54520547945,5.1543,-6.45479452054792
"67",67,2013.56712328767,3.8475,-6.43287671232883
"68",68,2013.5698630137,5.0733,-6.43013698630148
"69",69,2013.69863013699,3.4308,-6.30136986301363
"70",70,2013.72328767123,2.9178,-6.27671232876719
"71",71,2013.74246575342,3.2895,-6.25753424657523
"72",72,2013.74520547945,4.185,-6.25479452054788
"73",73,2013.76438356164,3.7422,-6.23561643835615
"74",74,2013.76712328767,2.6595,-6.23287671232879
"75",75,2013.78630136986,2.493,-6.21369863013706
"76",76,2013.9397260274,3.3534,-6.06027397260277
"77",77,2014.24657534247,5.841,-5.7534246575342
"78",78,2014.27123287671,6.0012,-5.72876712328775
"79",79,2014.33424657534,5.9886,-5.66575342465762
"80",80,2014.40273972603,6.0039,-5.59726027397255
"81",81,2014.44657534247,5.9868,-5.55342465753415
"82",82,2014.55342465753,4.932,-5.44657534246585
"83",83,2014.59726027397,4.3299,-5.40273972602745
"84",84,2014.6,3.1158,-5.40000000000009
"85",85,2014.8602739726,4.9401,-5.13972602739727
"86",86,2014.92876712329,4.5459,-5.07123287671243
"87",87,2014.94794520548,4.3155,-5.05205479452047
"88",88,2015.03561643836,5.166,-4.9643835616439
"89",89,2015.25479452055,5.9013,-4.74520547945212
"90",90,2015.27945205479,5.8923,-4.72054794520545
"91",91,2015.36712328767,5.9895,-4.63287671232888
"92",92,2015.51780821918,4.0113,-4.48219178082195
"93",93,2015.5397260274,3.6288,-4.46027397260264
"94",94,2015.60821917808,2.8134,-4.39178082191779
"95",95,2015.62739726027,3.4083,-4.37260273972606
"96",96,2015.67123287671,3.0564,-4.32876712328766
"97",97,2015.67397260274,4.2741,-4.3260273972603
"98",98,2015.73698630137,2.5416,-4.26301369863017
"99",99,2015.7397260274,2.5137,-4.26027397260282
"100",100,2015.78082191781,3.7431,-4.21917808219177
"101",101,2015.78356164384,2.4732,-4.21643835616442
"102",102,2015.82465753425,5.2254,-4.17534246575337
"103",103,2015.82739726027,3.6027,-4.17260273972602
"104",104,2015.91232876712,4.7529,-4.0876712328768
"105",105,2015.91506849315,3.1968,-4.08493150684922
"106",106,2016.13114754098,5.8851,-3.86885245901635
"107",107,2016.15573770492,5.3325,-3.84426229508199
"108",108,2016.17486338798,5.2938,-3.82513661202188
"109",109,2016.17759562842,3.4002,-3.82240437158475
"110",110,2016.26229508197,5.985,-3.7377049180327
"111",111,2016.3306010929,5.9886,-3.66939890710387
"112",112,2016.34972677596,5.9634,-3.65027322404376
"113",113,2016.57103825137,3.0528,-3.42896174863381
"114",114,2016.65573770492,3.8313,-3.34426229508199
"115",115,2016.65846994536,2.5317,-3.34153005464486
"116",116,2016.74316939891,4.3542,-3.25683060109282
"117",117,2016.7868852459,4.1733,-3.21311475409834
"118",118,2017.0301369863,4.7961,-2.96986301369861
"119",119,2017.26849315068,5.9913,-2.73150684931511
"120",120,2017.2904109589,4.338,-2.7095890410958
"121",121,2017.31232876712,5.9328,-2.68767123287671
"122",122,2017.35616438356,5.8527,-2.64383561643831
"123",123,2017.38082191781,5.9913,-2.61917808219187
"124",124,2017.57808219178,3.5316,-2.42191780821918
"125",125,2017.61917808219,4.2057,-2.38082191780813
"126",126,2017.62191780822,3.3507,-2.37808219178078
"127",127,2017.64109589041,2.9286,-2.35890410958905
"128",128,2017.88219178082,5.0013,-2.11780821917819
"129",129,2018.10136986301,5.0859,-1.89863013698641
"130",130,2018.21369863014,5.6655,-1.78630136986294
"131",131,2018.25753424658,5.8428,-1.74246575342477
"132",132,2018.27671232877,5.9616,-1.72328767123281
"133",133,2018.32054794521,5.8914,-1.67945205479441
"134",134,2018.40821917808,5.8518,-1.59178082191784
"135",135,2018.5397260274,4.5801,-1.46027397260264
"136",136,2018.54246575342,3.3741,-1.45753424657528
"137",137,2018.56164383562,2.9961,-1.43835616438355
"138",138,2018.58356164384,3.546,-1.41643835616446
"139",139,2018.58630136986,2.3967,-1.41369863013688
"140",140,2018.60547945205,2.2932,-1.39452054794515
"141",141,2018.62739726027,2.5209,-1.37260273972606
"142",142,2018.6301369863,2.4228,-1.3698630136987
"143",143,2018.65205479452,3.3822,-1.34794520547939
"144",144,2018.67123287671,2.4768,-1.32876712328766
"145",145,2018.67397260274,2.0781,-1.3260273972603
"146",146,2018.69315068493,2.5803,-1.30684931506858
"147",147,2018.69589041096,3.4866,-1.30410958904099
"148",148,2018.80273972603,5.454,-1.19726027397269
"149",149,2018.80547945205,3.6387,-1.1945205479451
"150",150,2018.82739726027,6.0021,-1.17260273972602
"151",151,2018.86849315069,3.9861,-1.13150684931497
"152",152,2019.1095890411,5.2776,-0.890410958904113
"153",153,2019.17808219178,5.7609,-0.821917808219268
"154",154,2019.32876712329,6.0003,-0.671232876712338
"155",155,2019.48493150685,6.0039,-0.515068493150693
"156",156,2019.61643835616,4.1724,-0.383561643835719
"157",157,2019.63561643836,4.2012,-0.364383561643763
"158",158,2019.6602739726,4.2759,-0.339726027397319
"159",159,2019.67945205479,3.3714,-0.32054794520559
"160",160,2019.68219178082,2.5713,-0.317808219178005
"161",161,2019.70136986301,2.3796,-0.298630136986276
"162",162,2019.72328767123,2.9268,-0.276712328767189
"163",163,2019.72602739726,2.2662,-0.273972602739832
"164",164,2019.74794520548,3.3741,-0.252054794520518
"165",165,2019.79178082192,2.7036,-0.208219178082118
"166",166,2019.83561643836,5.7015,-0.164383561643945
"167",167,2019.85479452055,5.2164,-0.145205479451988
"168",168,2019.85753424658,3.402,-0.142465753424631
"169",169,2019.92328767123,4.5639,-0.0767123287671438
"170",170,2019.98630136986,4.3623,-0.0136986301370143
