"","X","dates","areas","time"
"1",1,1984.2650273224,3.2652,-35.7349726775956
"2",2,1984.37704918033,2.8485,-35.622950819672
"3",3,1984.39617486339,2.9016,-35.6038251366119
"4",4,1984.42076502732,2.5182,-35.5792349726776
"5",5,1984.70765027322,1.134,-35.2923497267759
"6",6,1984.81420765027,2.1204,-35.1857923497269
"7",7,1985.14520547945,3.3714,-34.854794520548
"8",8,1985.45205479452,2.8737,-34.5479452054794
"9",9,1985.4904109589,2.3265,-34.509589041096
"10",10,1985.55890410959,1.35,-34.4410958904109
"11",11,1986.19726027397,3.3516,-33.8027397260273
"12",12,1986.4602739726,2.394,-33.5397260273974
"13",13,1986.47945205479,2.3238,-33.5205479452054
"14",14,1986.52328767123,2.1996,-33.4767123287672
"15",15,1986.54794520548,1.9746,-33.4520547945206
"16",16,1987.41917808219,3.1149,-32.5808219178082
"17",17,1987.53150684932,2.3832,-32.4684931506849
"18",18,1988.43169398907,2.6334,-31.5683060109291
"19",19,1988.51366120219,2.0106,-31.4863387978141
"20",20,1988.60655737705,1.1673,-31.3934426229507
"21",21,1989.52054794521,2.5083,-30.4794520547946
"22",22,1989.76438356164,0.873,-30.2356164383561
"23",23,1990.44109589041,2.6973,-29.5589041095891
"24",24,1990.53424657534,2.2914,-29.4657534246576
"25",25,1991.58082191781,1.7703,-28.4191780821918
"26",26,1991.58630136986,1.7226,-28.4136986301369
"27",27,1992.41803278689,2.8278,-27.5819672131147
"28",28,1992.54371584699,2.304,-27.4562841530055
"29",29,1993.55616438356,2.1285,-26.4438356164383
"30",30,1993.6,1.7937,-26.4000000000001
"31",31,1993.66301369863,1.5615,-26.33698630137
"32",32,1993.73150684932,1.1304,-26.2684931506849
"33",33,1993.7698630137,1.2168,-26.2301369863014
"34",34,1994.3397260274,2.7774,-25.6602739726027
"35",35,1994.60821917808,1.5867,-25.3917808219178
"36",36,1994.67123287671,1.6569,-25.3287671232877
"37",37,1994.73424657534,3.1131,-25.2657534246575
"38",38,1995.57260273973,2.0178,-24.4273972602739
"39",39,1995.67945205479,1.143,-24.3205479452056
"40",40,1995.74794520548,0.9774,-24.2520547945205
"41",41,1995.78630136986,0.9486,-24.2136986301371
"42",42,1997.44931506849,2.7351,-22.5506849315068
"43",43,1997.53698630137,2.0718,-22.4630136986302
"44",44,1997.54246575342,0.8253,-22.4575342465753
"45",45,1997.67397260274,0.6327,-22.3260273972603
"46",46,1998.65753424658,1.1889,-21.3424657534247
"47",47,1998.67671232877,1.2114,-21.3232876712329
"48",48,1999.68767123288,1.6731,-20.3123287671233
"49",49,1999.71232876712,0.8406,-20.2876712328766
"50",50,1999.73150684932,0.7218,-20.2684931506849
"51",51,1999.81917808219,2.2266,-20.1808219178083
"52",52,2000.32513661202,3.1473,-19.6748633879781
"53",53,2000.56284153005,2.0061,-19.4371584699454
"54",54,2000.58743169399,0.7506,-19.4125683060108
"55",55,2000.73770491803,0.801,-19.2622950819673
"56",56,2000.82513661202,0.6525,-19.1748633879781
"57",57,2000.84426229508,1.0224,-19.155737704918
"58",58,2001.48219178082,2.4282,-18.5178082191781
"59",59,2001.63287671233,0.9171,-18.3671232876711
"60",60,2002.24657534247,2.6676,-17.7534246575342
"61",61,2002.29589041096,2.7522,-17.7041095890411
"62",62,2002.40273972603,2.6982,-17.5972602739726
"63",63,2002.42191780822,2.5677,-17.5780821917808
"64",64,2002.53424657534,1.1034,-17.4657534246576
"65",65,2002.55342465753,1.764,-17.4465753424658
"66",66,2002.57808219178,1.1223,-17.4219178082192
"67",67,2002.60273972603,1.3437,-17.3972602739725
"68",68,2002.62191780822,0.5715,-17.3780821917808
"69",69,2002.64109589041,0.6957,-17.358904109589
"70",70,2002.64657534247,0.4959,-17.3534246575343
"71",71,2002.68493150685,1.4625,-17.3150684931506
"72",72,2002.6904109589,0.6777,-17.3095890410959
"73",73,2003.17260273973,0.9333,-16.827397260274
"74",74,2003.39178082192,2.8485,-16.6082191780822
"75",75,2003.56164383562,0.612,-16.4383561643835
"76",76,2003.60547945205,0.8982,-16.3945205479451
"77",77,2004.34972677596,1.9152,-15.6502732240438
"78",78,2004.41803278689,2.6739,-15.5819672131147
"79",79,2004.43989071038,2.8692,-15.5601092896175
"80",80,2004.50819672131,2.3751,-15.4918032786886
"81",81,2004.5737704918,1.512,-15.4262295081967
"82",82,2004.59289617486,1.4616,-15.4071038251366
"83",83,2004.74863387978,0.8145,-15.2513661202186
"84",84,2005.35890410959,2.9277,-14.641095890411
"85",85,2005.38356164384,3.2094,-14.6164383561643
"86",86,2005.4904109589,2.5209,-14.509589041096
"87",87,2005.49315068493,1.9935,-14.5068493150684
"88",88,2005.5095890411,2.2923,-14.490410958904
"89",89,2005.51232876712,1.4175,-14.4876712328767
"90",90,2005.51506849315,2.2104,-14.4849315068493
"91",91,2006.34246575342,2.6172,-13.6575342465753
"92",92,2006.34520547945,2.4255,-13.654794520548
"93",93,2006.49863013699,2.1708,-13.5013698630137
"94",94,2006.56712328767,1.5984,-13.4328767123288
"95",95,2006.58356164384,0.0531,-13.4164383561645
"96",96,2006.58904109589,1.1439,-13.4109589041095
"97",97,2006.60547945205,1.2807,-13.3945205479451
"98",98,2006.61095890411,0.7506,-13.3890410958904
"99",99,2006.6301369863,1.0179,-13.3698630136987
"100",100,2006.63287671233,0.8352,-13.3671232876711
"101",101,2006.65205479452,0.5544,-13.3479452054794
"102",102,2006.65479452055,1.1313,-13.345205479452
"103",103,2006.73698630137,0.9099,-13.2630136986302
"104",104,2006.75890410959,0.6417,-13.2410958904109
"105",105,2007.41643835616,1.9467,-12.5835616438355
"106",106,2007.41917808219,2.9997,-12.5808219178082
"107",107,2007.42191780822,2.3634,-12.5780821917808
"108",108,2007.50410958904,1.5426,-12.495890410959
"109",109,2007.50684931507,2.376,-12.4931506849316
"110",110,2008.42349726776,2.0394,-11.5765027322404
"111",111,2008.51639344262,1.8612,-11.483606557377
"112",112,2008.6912568306,1.0899,-11.3087431693989
"113",113,2009.47397260274,1.566,-10.5260273972603
"114",114,2009.50136986301,2.2167,-10.4986301369863
"115",115,2009.54520547945,1.9692,-10.4547945205479
"116",116,2009.60821917808,1.2879,-10.3917808219178
"117",117,2009.75890410959,1.2078,-10.2410958904109
"118",118,2010.63561643836,1.1493,-9.36438356164376
"119",119,2010.68219178082,0.8172,-9.317808219178
"120",120,2010.68493150685,0.9396,-9.31506849315065
"121",121,2010.74520547945,0.6534,-9.25479452054788
"122",122,2010.74794520548,0.8217,-9.25205479452052
"123",123,2010.75068493151,0.5121,-9.24931506849316
"124",124,2011.36164383562,2.7018,-8.63835616438359
"125",125,2011.44931506849,2.4867,-8.55068493150679
"126",126,2011.45205479452,1.9008,-8.54794520547944
"127",127,2011.5397260274,1.458,-8.46027397260264
"128",128,2011.58356164384,0.6984,-8.41643835616446
"129",129,2011.71232876712,0.8244,-8.28767123287662
"130",130,2011.71506849315,0.5958,-8.28493150684926
"131",131,2012.39071038251,2.7549,-7.60928961748641
"132",132,2012.4781420765,3.1626,-7.52185792349724
"133",133,2012.5218579235,2.3976,-7.47814207650276
"134",134,2012.59016393443,1.3842,-7.4098360655737
"135",135,2012.63387978142,1.0602,-7.36612021857923
"136",136,2012.71584699454,1.0881,-7.28415300546453
"137",137,2013.4,3.0132,-6.59999999999991
"138",138,2013.55342465753,1.4607,-6.44657534246585
"139",139,2013.59452054795,0.6111,-6.40547945205481
"140",140,2013.66301369863,1.3266,-6.33698630136996
"141",141,2013.68219178082,0.4887,-6.317808219178
"142",142,2013.68493150685,0.4779,-6.31506849315065
"143",143,2013.74520547945,1.3509,-6.25479452054788
"144",144,2013.78904109589,0.7488,-6.2109589041097
"145",145,2014.09589041096,3.3696,-5.90410958904113
"146",146,2014.20821917808,1.4481,-5.79178082191788
"147",147,2014.3397260274,2.7837,-5.66027397260268
"148",148,2014.40273972603,2.6037,-5.59726027397255
"149",149,2014.40821917808,2.5704,-5.59178082191784
"150",150,2014.42739726027,2.5812,-5.57260273972611
"151",151,2014.44657534247,2.3742,-5.55342465753415
"152",152,2014.4904109589,2.3625,-5.50958904109598
"153",153,2014.49589041096,2.2644,-5.50410958904104
"154",154,2014.51506849315,2.0502,-5.48493150684931
"155",155,2014.51780821918,1.5984,-5.48219178082195
"156",156,2014.53150684932,1.0656,-5.46849315068494
"157",157,2014.56164383562,0.9063,-5.43835616438355
