"","X","dates","areas","time"
"1",1,1992.53005464481,7.4997,-27.4699453551912
"2",2,1992.59836065574,5.3451,-27.4016393442623
"3",3,1993.36164383562,7.8345,-26.6383561643836
"4",4,1993.38630136986,7.9353,-26.6136986301369
"5",5,1994.3698630137,7.4385,-25.6301369863013
"6",6,1994.46301369863,7.2225,-25.5369863013698
"7",7,1994.52602739726,5.5701,-25.4739726027397
"8",8,1995.31506849315,7.1136,-24.6849315068494
"9",9,1995.46575342466,6.2271,-24.5342465753424
"10",10,1995.47123287671,6.1758,-24.5287671232877
"11",11,1995.68493150685,2.2716,-24.3150684931506
"12",12,1996.25409836066,6.8742,-23.7459016393443
"13",13,1996.27322404372,6.831,-23.7267759562842
"14",14,1996.42896174863,8.0325,-23.5710382513662
"15",15,1996.47267759563,7.704,-23.5273224043715
"16",16,1996.49180327869,7.4583,-23.5081967213114
"17",17,1996.53551912568,6.6483,-23.4644808743169
"18",18,1996.56010928962,6.3342,-23.4398907103825
"19",19,1997.54246575342,6.3666,-22.4575342465753
"20",20,1998.37534246575,8.7552,-21.6246575342466
"21",21,1999.49863013699,7.4304,-20.5013698630137
"22",22,1999.69315068493,6.0777,-20.3068493150686
"23",23,1999.71780821918,5.4855,-20.2821917808219
"24",24,1999.78082191781,3.8925,-20.2191780821918
"25",25,2000.35519125683,7.7805,-19.6448087431695
"26",26,2000.37431693989,7.9227,-19.6256830601094
"27",27,2000.46174863388,7.4943,-19.5382513661202
"28",28,2000.51366120219,4.914,-19.4863387978141
"29",29,2001.18630136986,4.6566,-18.813698630137
"30",30,2001.20547945205,5.1984,-18.7945205479452
"31",31,2001.44931506849,7.7625,-18.5506849315068
"32",32,2001.48767123288,7.5492,-18.5123287671233
"33",33,2001.51232876712,6.8004,-18.4876712328767
"34",34,2001.53150684932,6.0444,-18.4684931506849
"35",35,2001.58082191781,4.9716,-18.4191780821918
"36",36,2001.81917808219,3.2364,-18.1808219178083
"37",37,2002.36438356164,8.1045,-17.6356164383562
"38",38,2002.38904109589,7.9812,-17.6109589041096
"39",39,2002.41369863014,7.6779,-17.5863013698631
"40",40,2002.45205479452,7.2225,-17.5479452054794
"41",41,2002.63287671233,6.1713,-17.3671232876711
"42",42,2002.65205479452,4.6629,-17.3479452054794
"43",43,2002.67123287671,4.8438,-17.3287671232877
"44",44,2002.72054794521,3.7107,-17.2794520547945
"45",45,2003.17808219178,4.2057,-16.8219178082193
"46",46,2003.2904109589,6.5871,-16.7095890410958
"47",47,2003.3095890411,8.7498,-16.6904109589041
"48",48,2003.59178082192,2.2635,-16.4082191780822
"49",49,2004.34153005464,4.9032,-15.6584699453551
"50",50,2004.3606557377,6.4971,-15.639344262295
"51",51,2004.4043715847,6.6825,-15.5956284153006
"52",52,2004.47267759563,4.2867,-15.5273224043715
"53",53,2004.68579234973,4.9329,-15.3142076502731
"54",54,2004.75409836066,4.0464,-15.2459016393443
"55",55,2005.21095890411,7.4286,-14.7890410958903
"56",56,2005.30410958904,3.6936,-14.695890410959
"57",57,2005.38630136986,6.5034,-14.6136986301369
"58",58,2005.49863013699,6.1533,-14.5013698630137
"59",59,2005.67397260274,3.1302,-14.3260273972603
"60",60,2005.69315068493,3.5784,-14.3068493150686
"61",61,2006.2,4.3506,-13.8
"62",62,2006.35616438356,4.4109,-13.6438356164383
"63",63,2006.37534246575,6.6825,-13.6246575342466
"64",64,2006.48219178082,6.1011,-13.5178082191781
"65",65,2006.50684931507,5.6169,-13.4931506849316
"66",66,2006.53150684932,3.51,-13.4684931506849
"67",67,2006.55068493151,4.77,-13.4493150684932
"68",68,2006.5698630137,3.933,-13.4301369863015
"69",69,2006.59452054795,3.5964,-13.4054794520548
"70",70,2006.61369863014,3.0096,-13.3863013698631
"71",71,2006.7698630137,3.6171,-13.2301369863014
"72",72,2007.3397260274,6.6501,-12.6602739726027
"73",73,2007.36438356164,4.5306,-12.6356164383562
"74",74,2007.42739726027,6.6312,-12.5726027397261
"75",75,2007.49589041096,3.8151,-12.504109589041
"76",76,2007.51506849315,4.0068,-12.4849315068493
"77",77,2007.5397260274,2.061,-12.4602739726026
"78",78,2007.60273972603,2.5713,-12.3972602739725
"79",79,2008.34699453552,6.6438,-11.6530054644809
"80",80,2008.4781420765,6.0363,-11.5218579234972
"81",81,2008.50273224044,3.9537,-11.4972677595629
"82",82,2008.54098360656,4.4199,-11.4590163934427
"83",83,2008.54644808743,2.9934,-11.4535519125684
"84",84,2008.58469945355,3.141,-11.4153005464482
"85",85,2008.60928961749,3.1113,-11.3907103825136
"86",86,2008.63387978142,1.6092,-11.3661202185792
"87",87,2009.17808219178,3.7314,-10.8219178082193
"88",88,2009.24657534247,3.9762,-10.7534246575342
"89",89,2009.2904109589,4.2498,-10.7095890410958
"90",90,2009.37260273973,6.6321,-10.6273972602739
"91",91,2009.44109589041,6.6357,-10.5589041095891
"92",92,2009.57260273973,4.5306,-10.4273972602739
"93",93,2009.59178082192,4.1337,-10.4082191780822
"94",94,2009.59726027397,3.1347,-10.4027397260274
"95",95,2009.61643835616,3.5073,-10.3835616438357
"96",96,2009.64109589041,2.6937,-10.358904109589
"97",97,2009.70410958904,5.2452,-10.2958904109589
"98",98,2009.74794520548,4.4559,-10.2520547945205
"99",99,2010.27397260274,5.9022,-9.72602739726017
"100",100,2010.31780821918,6.2289,-9.682191780822
"101",101,2010.34246575342,4.5603,-9.65753424657532
"102",102,2010.51232876712,4.1058,-9.48767123287666
"103",103,2010.62465753425,1.7874,-9.37534246575342
"104",104,2010.73150684932,2.9862,-9.26849315068489
"105",105,2011.45753424658,6.273,-8.54246575342472
"106",106,2011.50136986301,5.5449,-8.49863013698632
"107",107,2011.52602739726,3.4785,-8.47397260273965
"108",108,2011.61369863014,1.9413,-8.38630136986308
"109",109,2011.69589041096,3.726,-8.30410958904099
"110",110,2012.37704918033,6.8013,-7.62295081967204
"111",111,2012.42076502732,6.2442,-7.57923497267757
"112",112,2012.46448087432,5.2191,-7.53551912568309
"113",113,2012.48360655738,4.2138,-7.51639344262298
"114",114,2012.52732240437,1.863,-7.47267759562851
"115",115,2012.62021857923,0.6102,-7.37978142076508
"116",116,2012.66393442623,1.5057,-7.33606557377038
"117",117,2012.68306010929,5.3154,-7.31693989071027
"118",118,2013.20821917808,4.392,-6.79178082191788
"119",119,2013.23287671233,5.7717,-6.76712328767121
"120",120,2013.25205479452,5.3046,-6.74794520547948
"121",121,2013.27397260274,6.3675,-6.72602739726017
"122",122,2013.27671232877,3.6387,-6.72328767123281
"123",123,2013.38630136986,5.976,-6.61369863013692
"124",124,2013.5397260274,2.3949,-6.46027397260264
"125",125,2013.58356164384,1.017,-6.41643835616446
"126",126,2013.71232876712,5.4648,-6.28767123287662
"127",127,2013.71506849315,3.1374,-6.28493150684926
"128",128,2013.73424657534,4.6674,-6.26575342465753
"129",129,2013.75342465753,3.8754,-6.2465753424658
"130",130,2014.15068493151,6.7788,-5.84931506849307
"131",131,2014.26301369863,6.3045,-5.73698630136983
"132",132,2014.30136986301,7.0065,-5.69863013698637
"133",133,2014.30684931507,7.1694,-5.69315068493142
"134",134,2014.35068493151,7.3908,-5.64931506849325
"135",135,2014.41369863014,8.2584,-5.58630136986312
"136",136,2014.43287671233,7.7688,-5.56712328767117
"137",137,2014.43835616438,1.1808,-5.56164383561645
"138",138,2014.44657534247,4.8267,-5.55342465753415
"139",139,2014.50136986301,6.1704,-5.49863013698632
"140",140,2014.52054794521,5.5737,-5.47945205479459
"141",141,2014.54520547945,5.1381,-5.45479452054792
"142",142,2014.56438356164,3.9852,-5.43561643835619
"143",143,2014.7397260274,7.8048,-5.26027397260282
"144",144,2014.76438356164,4.0617,-5.23561643835615
"145",145,2014.85205479452,2.5587,-5.14794520547935
"146",146,2015.20273972603,4.9599,-4.7972602739726
"147",147,2015.24657534247,6.0876,-4.7534246575342
"148",148,2015.26575342466,6.3306,-4.73424657534247
"149",149,2015.2904109589,6.8364,-4.7095890410958
"150",150,2015.3095890411,7.1478,-4.69041095890407
"151",151,2015.31506849315,8.6967,-4.68493150684935
"152",152,2015.35890410959,8.4681,-4.64109589041095
"153",153,2015.44109589041,7.6914,-4.55890410958909
"154",154,2015.48493150685,6.7608,-4.51506849315069
"155",155,2015.64109589041,4.9077,-4.35890410958905
"156",156,2015.77260273973,3.1995,-4.22739726027407
"157",157,2016.21038251366,5.7132,-3.78961748633878
"158",158,2016.22950819672,5.5467,-3.77049180327867
"159",159,2016.29781420765,7.0065,-3.70218579234984
"160",160,2016.32240437158,6.9975,-3.67759562841525
"161",161,2016.4043715847,7.857,-3.59562841530055
"162",162,2016.42896174863,7.767,-3.57103825136619
"163",163,2016.43715846995,4.8276,-3.56284153005458
"164",164,2016.44808743169,6.7752,-3.55191256830608
"165",165,2016.50546448087,3.168,-3.49453551912575
"166",166,2016.53551912568,4.9239,-3.46448087431691
"167",167,2016.56010928962,3.7404,-3.43989071038254
"168",168,2016.57923497268,3.6135,-3.42076502732243
"169",169,2016.60382513661,3.3867,-3.39617486338807
"170",170,2016.62295081967,3.5397,-3.37704918032796
"171",171,2016.64754098361,2.6019,-3.35245901639337
"172",172,2016.75409836066,4.4298,-3.24590163934431
"173",173,2017.08493150685,5.5233,-2.91506849315078
"174",174,2017.17260273973,4.023,-2.82739726027398
"175",175,2017.2602739726,6.3027,-2.73972602739718
"176",176,2017.36712328767,8.4744,-2.63287671232888
"177",177,2017.41095890411,7.4286,-2.58904109589048
"178",178,2017.45479452055,6.7419,-2.54520547945208
"179",179,2017.47945205479,6.597,-2.52054794520541
"180",180,2017.49315068493,5.1039,-2.50684931506839
"181",181,2017.52328767123,5.7501,-2.47671232876723
"182",182,2017.56712328767,4.815,-2.43287671232883
"183",183,2017.58630136986,3.735,-2.41369863013688
"184",184,2017.67397260274,6.0048,-2.3260273972603
"185",185,2017.71780821918,8.0019,-2.2821917808219
"186",186,2017.76712328767,2.8413,-2.23287671232879
"187",187,2017.78630136986,3.4848,-2.21369863013706
"188",188,2018.15616438356,3.7089,-1.84383561643835
"189",189,2018.20547945205,4.7007,-1.79452054794524
"190",190,2018.24931506849,6.0534,-1.75068493150684
"191",191,2018.41917808219,8.2989,-1.58082191780818
"192",192,2018.44383561644,7.5726,-1.55616438356174
"193",193,2018.50136986301,5.274,-1.49863013698632
"194",194,2018.52054794521,4.9095,-1.47945205479459
"195",195,2018.57534246575,5.7537,-1.42465753424653
"196",196,2018.85753424658,2.7954,-1.14246575342463
"197",197,2019.08219178082,1.7082,-0.917808219178141
"198",198,2019.12054794521,3.213,-0.879452054794456
"199",199,2019.27671232877,6.4107,-0.723287671232811
"200",200,2019.32054794521,7.0668,-0.67945205479441
"201",201,2019.3397260274,7.0146,-0.660273972602681
"202",202,2019.40821917808,6.5025,-0.591780821917837
"203",203,2019.44109589041,4.6044,-0.558904109589093
