"","X","dates","areas","time"
"1",1,1988.81967213115,2.655,-31.1803278688524
"2",2,1988.8825136612,2.1555,-31.1174863387978
"3",3,1989.40821917808,3.4767,-30.5917808219178
"4",4,1989.91506849315,2.4246,-30.0849315068492
"5",5,1990.24109589041,3.5091,-29.7589041095891
"6",6,1992.41256830601,3.5091,-27.5874316939892
"7",7,1992.5,3.3993,-27.5
"8",8,1993.43835616438,3.4416,-26.5616438356165
"9",9,1993.46301369863,3.4218,-26.5369863013698
"10",10,1993.50684931507,3.2553,-26.4931506849316
"11",11,1993.52602739726,3.1149,-26.4739726027397
"12",12,1993.55068493151,2.6361,-26.4493150684932
"13",13,1993.5698630137,2.7639,-26.4301369863015
"14",14,1993.59452054795,2.7387,-26.4054794520548
"15",15,1993.74520547945,1.8216,-26.2547945205479
"16",16,1993.78904109589,3.177,-26.2109589041097
"17",17,1993.94520547945,2.6118,-26.0547945205481
"18",18,1994.3397260274,3.5064,-25.6602739726027
"19",19,1994.35890410959,3.5001,-25.641095890411
"20",20,1994.38356164384,3.5028,-25.6164383561643
"21",21,1994.40273972603,3.483,-25.5972602739726
"22",22,1994.42739726027,3.4857,-25.5726027397261
"23",23,1994.44657534247,3.5091,-25.5534246575342
"24",24,1994.4904109589,3.0573,-25.509589041096
"25",25,1994.51506849315,2.7909,-25.4849315068493
"26",26,1994.57808219178,2.2923,-25.4219178082192
"27",27,1994.66575342466,1.8243,-25.3342465753424
"28",28,1995.14794520548,2.9628,-24.8520547945207
"29",29,1995.36712328767,3.4668,-24.6328767123289
"30",30,1996.68032786885,2.0907,-23.3196721311476
"31",31,1996.72404371585,1.8378,-23.2759562841529
"32",32,1997.51232876712,2.6901,-22.4876712328767
"33",33,1997.68767123288,1.2681,-22.3123287671233
"34",34,1998.54520547945,2.7648,-21.4547945205479
"35",35,1998.58904109589,2.4066,-21.4109589041095
"36",36,1998.60821917808,2.4066,-21.3917808219178
"37",37,1998.63287671233,2.178,-21.3671232876711
"38",38,1998.69589041096,1.9548,-21.304109589041
"39",39,1998.7397260274,2.1339,-21.2602739726028
"40",40,1998.76438356164,1.9494,-21.2356164383561
"41",41,1998.78356164384,1.7982,-21.2164383561644
"42",42,1998.80821917808,1.9386,-21.1917808219177
"43",43,1998.87123287671,2.0232,-21.1287671232876
"44",44,1999.15890410959,3.1068,-20.841095890411
"45",45,1999.2904109589,3.5019,-20.7095890410958
"46",46,1999.33424657534,3.5091,-20.6657534246576
"47",47,1999.61917808219,2.4507,-20.3808219178081
"48",48,1999.68219178082,2.3436,-20.317808219178
"49",49,1999.88219178082,2.7702,-20.1178082191782
"50",50,1999.92328767123,2.4687,-20.0767123287671
"51",51,1999.94794520548,2.3751,-20.0520547945205
"52",52,1999.99178082192,2.3238,-20.0082191780823
"53",53,2000.01092896175,2.2941,-19.9890710382513
"54",54,2000.12021857923,2.9952,-19.8797814207651
"55",55,2000.22950819672,3.4731,-19.7704918032787
"56",56,2000.27322404372,3.4569,-19.7267759562842
"57",57,2000.27595628415,3.4992,-19.7240437158471
"58",58,2000.3825136612,3.3606,-19.6174863387978
"59",59,2000.38524590164,3.33,-19.6147540983607
"60",60,2000.4043715847,3.1653,-19.5956284153006
"61",61,2000.53825136612,2.4912,-19.4617486338798
"62",62,2000.62568306011,2.0682,-19.3743169398906
"63",63,2000.64480874317,2.0448,-19.3551912568305
"64",64,2000.6693989071,1.899,-19.3306010928961
"65",65,2000.81967213115,2.9178,-19.1803278688524
"66",66,2000.90710382514,2.6739,-19.0928961748634
"67",67,2001.03835616438,2.601,-18.9616438356165
"68",68,2001.1698630137,3.3615,-18.8301369863013
"69",69,2001.38904109589,3.3183,-18.6109589041096
"70",70,2001.41095890411,3.0105,-18.5890410958905
"71",71,2001.50136986301,2.4156,-18.4986301369863
"72",72,2001.56438356164,1.7451,-18.4356164383562
"73",73,2001.63287671233,1.8936,-18.3671232876711
"74",74,2001.67671232877,1.6002,-18.3232876712329
"75",75,2001.7397260274,1.8135,-18.2602739726028
"76",76,2001.76438356164,1.4832,-18.2356164383561
"77",77,2002.42191780822,3.501,-17.5780821917808
"78",78,2002.44109589041,3.4515,-17.5589041095891
"79",79,2002.59726027397,2.1186,-17.4027397260274
"80",80,2002.64109589041,1.9494,-17.358904109589
"81",81,2002.6602739726,1.7946,-17.3397260273973
"82",82,2003.38630136986,3.5073,-16.6136986301369
"83",83,2003.53698630137,2.196,-16.4630136986302
"84",84,2003.66849315068,1.566,-16.331506849315
"85",85,2003.71232876712,1.782,-16.2876712328766
"86",86,2003.8,1.8702,-16.2
"87",87,2003.82465753425,1.2474,-16.1753424657534
"88",88,2003.95616438356,1.3815,-16.0438356164384
"89",89,2004.08743169399,1.782,-15.9125683060108
"90",90,2004.26229508197,2.2437,-15.7377049180327
"91",91,2004.36885245902,2.5821,-15.6311475409836
"92",92,2004.45628415301,2.5704,-15.5437158469945
"93",93,2004.52459016393,1.5651,-15.4754098360656
"94",94,2004.56830601093,1.5912,-15.4316939890709
"95",95,2004.61202185792,1.521,-15.3879781420765
"96",96,2004.65573770492,1.3599,-15.344262295082
"97",97,2004.67486338798,1.7316,-15.3251366120219
"98",98,2004.69945355191,1.206,-15.3005464480875
"99",99,2004.74316939891,1.5579,-15.2568306010928
"100",100,2004.80601092896,2.3814,-15.1939890710382
"101",101,2004.87431693989,1.6668,-15.1256830601094
"102",102,2005.24383561644,2.6541,-14.7561643835616
"103",103,2005.33150684932,2.6145,-14.668493150685
"104",104,2005.55068493151,2.1177,-14.4493150684932
"105",105,2005.59452054795,2.1078,-14.4054794520548
"106",106,2005.61917808219,1.593,-14.3808219178081
"107",107,2005.63835616438,1.764,-14.3616438356164
"108",108,2005.66301369863,1.3761,-14.33698630137
"109",109,2005.68219178082,1.458,-14.317808219178
"110",110,2005.70684931507,1.4481,-14.2931506849316
"111",111,2005.72602739726,1.5462,-14.2739726027398
"112",112,2005.75068493151,1.1241,-14.2493150684932
"113",113,2005.79452054795,1.7487,-14.2054794520548
"114",114,2005.83835616438,1.1646,-14.1616438356164
"115",115,2005.88219178082,1.6965,-14.1178082191782
"116",116,2005.94520547945,2.0052,-14.0547945205481
"117",117,2005.9698630137,1.1736,-14.0301369863014
"118",118,2006.18904109589,1.9188,-13.8109589041096
"119",119,2006.29589041096,2.8422,-13.7041095890411
"120",120,2006.32054794521,2.1969,-13.6794520547944
"121",121,2006.36438356164,2.3454,-13.6356164383562
"122",122,2006.38356164384,2.7738,-13.6164383561643
"123",123,2006.40821917808,2.1834,-13.5917808219178
"124",124,2006.42739726027,2.6379,-13.5726027397261
"125",125,2006.51506849315,2.0988,-13.4849315068493
"126",126,2006.5397260274,1.5822,-13.4602739726026
"127",127,2006.55890410959,1.7586,-13.4410958904109
"128",128,2006.64657534247,1.1358,-13.3534246575343
"129",129,2006.67123287671,1.1286,-13.3287671232877
"130",130,2006.6904109589,1.3482,-13.3095890410959
"131",131,2006.75890410959,1.0035,-13.2410958904109
"132",132,2006.80273972603,1.2843,-13.1972602739727
"133",133,2006.84657534247,1.0404,-13.1534246575343
"134",134,2007.08493150685,2.1789,-12.9150684931508
"135",135,2007.28493150685,2.3742,-12.7150684931507
"136",136,2007.30410958904,2.6676,-12.695890410959
"137",137,2007.43561643836,2.5794,-12.5643835616438
"138",138,2007.47945205479,1.9638,-12.5205479452054
"139",139,2007.50410958904,1.6074,-12.495890410959
"140",140,2007.52328767123,2.1132,-12.4767123287672
"141",141,2007.54794520548,1.215,-12.4520547945206
"142",142,2007.56712328767,1.8414,-12.4328767123288
"143",143,2007.59178082192,1.4256,-12.4082191780822
"144",144,2007.61095890411,1.4733,-12.3890410958904
"145",145,2007.63561643836,1.0566,-12.3643835616438
"146",146,2007.65479452055,1.0971,-12.345205479452
"147",147,2007.69863013699,1.2474,-12.3013698630136
"148",148,2007.72328767123,0.8982,-12.2767123287672
"149",149,2007.74246575342,0.9882,-12.2575342465752
"150",150,2007.76712328767,0.9378,-12.2328767123288
"151",151,2007.78630136986,2.2851,-12.2136986301371
"152",152,2007.8301369863,1.6632,-12.1698630136987
"153",153,2007.85479452055,1.0098,-12.145205479452
"154",154,2007.87397260274,1.3059,-12.1260273972603
"155",155,2007.98630136986,1.7316,-12.013698630137
"156",156,2008.22404371585,2.7675,-11.7759562841529
"157",157,2008.33606557377,2.1411,-11.6639344262296
"158",158,2008.42349726776,2.0628,-11.5765027322404
"159",159,2008.44262295082,2.4318,-11.5573770491803
"160",160,2008.44535519126,3.0267,-11.5546448087432
"161",161,2008.46448087432,2.7756,-11.5355191256831
