"","X","dates","areas","time"
"1",1,1999.88767123288,17.3052,-20.1123287671232
"2",2,2000.01912568306,8.334,-19.9808743169399
"3",3,2000.10655737705,5.6034,-19.8934426229507
"4",4,2000.15027322404,5.4837,-19.8497267759562
"5",5,2000.28142076503,3.2814,-19.7185792349726
"6",6,2000.58743169399,9.7749,-19.4125683060108
"7",7,2000.63114754098,12.2985,-19.3688524590164
"8",8,2000.80601092896,19.3104,-19.1939890710382
"9",9,2001.02465753425,11.5083,-18.9753424657533
"10",10,2001.2,4.6296,-18.8
"11",11,2001.24383561644,11.7279,-18.7561643835616
"12",12,2001.28767123288,4.4892,-18.7123287671234
"13",13,2001.33150684932,3.7044,-18.668493150685
"14",14,2001.41917808219,6.7266,-18.5808219178082
"15",15,2001.46301369863,5.8833,-18.5369863013698
"16",16,2001.50684931507,6.4071,-18.4931506849316
"17",17,2001.68219178082,12.8916,-18.317808219178
"18",18,2001.72602739726,14.5935,-18.2739726027398
"19",19,2001.81369863014,14.517,-18.186301369863
"20",20,2001.94520547945,17.2035,-18.0547945205481
"21",21,2002.07671232877,5.3838,-17.9232876712329
"22",22,2002.12054794521,4.1112,-17.8794520547945
"23",23,2002.25205479452,11.7909,-17.7479452054795
"24",24,2002.29589041096,5.4162,-17.7041095890411
"25",25,2002.42739726027,6.2847,-17.5726027397261
"26",26,2002.55890410959,7.8084,-17.4410958904109
"27",27,2002.99726027397,14.6169,-17.0027397260274
"28",28,2003.08493150685,8.6643,-16.9150684931508
"29",29,2003.17260273973,11.3175,-16.827397260274
"30",30,2003.21643835616,5.8599,-16.7835616438356
"31",31,2003.39178082192,6.102,-16.6082191780822
"32",32,2003.58904109589,3.8538,-16.4109589041095
"33",33,2003.61095890411,9.5319,-16.3890410958904
"34",34,2003.65479452055,12.1599,-16.345205479452
"35",35,2003.76438356164,14.0805,-16.2356164383561
"36",36,2003.78630136986,18.6903,-16.2136986301371
"37",37,2003.89589041096,17.0037,-16.1041095890412
"38",38,2003.91780821918,16.7121,-16.0821917808219
"39",39,2003.9397260274,14.5377,-16.0602739726028
"40",40,2004.00546448087,12.8322,-15.9945355191257
"41",41,2004.07103825137,6.7059,-15.9289617486338
"42",42,2004.09289617486,7.5942,-15.9071038251366
