id,start_date,end_date,slope,slope_error,intercept,intercept_error,r2,dpoints
G168578E44439S,1999,2019,-0.036189665,0.013186161,8.160149566,0.140672358,0.51709135,207
G168609E44455S,1999,2019,-0.055872897,0.038837009,14.68093861,0.40785185,0.510490695,292
G169947E43804S,1999,2019,-0.075725753,0.028407926,9.013020659,0.302894654,0.686174379,263
G169959E43779S,1999,2019,-0.032364361,0.015657991,3.750758037,0.170866923,0.605481121,197
G170492E43447S,1999,2019,-0.028079494,0.047257081,14.13516776,0.510242574,0.413934717,272
G170591E43444S,1999,2019,-0.189399966,0.079081556,19.38300526,0.864876747,0.422802749,323
G170734E43324S,1999,2019,-0.064534019,0.011834587,5.296716273,0.123917855,0.596056649,438
G170802E43324S,1999,2019,-0.020624814,0.004473495,1.50058202,0.048811047,0.655629946,524
G170913E43237S,1999,2019,-0.251281436,0.063701549,28.98712559,0.673075463,0.668622302,375
G216152E69302N,1985,2019,-0.054181764,0.038697921,8.785685892,0.441961189,0.685238254,135
G287591E48477S,1984,2019,-0.089591945,0.097540478,47.56258043,1.049524864,0.38642725,190
G287701E47628S,1986,2019,-0.152622954,1.136749846,49.09690261,22.19500583,0.394215826,26
G306775E67094N,1992,2019,-0.047399317,0.033614619,4.18415618,0.267214231,0.499407527,214
