"","dates","areas","time"
"1",1984.2650273224,2.9637,-35.7349726775956
"2",1984.37704918033,2.8827,-35.622950819672
"3",1984.39617486339,2.8242,-35.6038251366119
"4",1984.40163934426,2.8755,-35.5983606557377
"5",1984.42076502732,2.7243,-35.5792349726776
"6",1984.48360655738,2.6244,-35.516393442623
"7",1984.81420765027,2.5776,-35.1857923497269
"8",1985.4904109589,2.5074,-34.509589041096
"9",1985.55890410959,2.0214,-34.4410958904109
"10",1985.75890410959,2.5668,-34.2410958904109
"11",1986.19726027397,2.9484,-33.8027397260273
"12",1986.24109589041,2.6064,-33.7589041095891
"13",1986.39178082192,2.862,-33.6082191780822
"14",1986.47945205479,2.6163,-33.5205479452054
"15",1986.50410958904,2.6541,-33.495890410959
"16",1986.54794520548,2.2608,-33.4520547945206
"17",1986.65479452055,1.6047,-33.345205479452
"18",1986.67397260274,0.7497,-33.3260273972603
"19",1987.2,2.6892,-32.8
"20",1987.20547945205,2.88,-32.7945205479452
"21",1987.53150684932,2.6388,-32.4684931506849
"22",1988.14480874317,2.646,-31.8551912568305
"23",1988.34426229508,2.8989,-31.655737704918
"24",1988.43169398907,2.7144,-31.5683060109291
"25",1988.51366120219,2.2815,-31.4863387978141
"26",1988.53825136612,1.2501,-31.4617486338798
"27",1988.60655737705,1.1412,-31.3934426229507
"28",1989.52054794521,2.6631,-30.4794520547946
"29",1989.61369863014,0.8649,-30.3863013698631
"30",1989.76438356164,1.1142,-30.2356164383561
"31",1990.44109589041,2.7927,-29.5589041095891
"32",1990.46575342466,2.7999,-29.5342465753424
"33",1990.53424657534,2.5524,-29.4657534246576
"34",1990.62191780822,1.6821,-29.3780821917808
"35",1991.58082191781,1.9611,-28.4191780821918
"36",1991.58630136986,1.953,-28.4136986301369
"37",1991.64931506849,1.3167,-28.3506849315067
"38",1992.41803278689,2.8512,-27.5819672131147
"39",1992.54371584699,2.7927,-27.4562841530055
"40",1993.55616438356,2.4624,-26.4438356164383
"41",1993.70684931507,2.5812,-26.2931506849316
"42",1993.73150684932,1.6632,-26.2684931506849
"43",1993.7698630137,1.8189,-26.2301369863014
"44",1994.60821917808,2.1393,-25.3917808219178
"45",1994.62739726027,2.0187,-25.3726027397261
"46",1994.64657534247,1.6371,-25.3534246575343
"47",1994.65205479452,2.0511,-25.3479452054794
"48",1994.67123287671,2.1609,-25.3287671232877
"49",1995.34794520548,2.9628,-24.6520547945206
"50",1995.57260273973,2.502,-24.4273972602739
"51",1995.70410958904,1.809,-24.2958904109589
"52",1995.74794520548,1.5183,-24.2520547945205
"53",1996.54918032787,2.5677,-23.450819672131
"54",1996.57923497268,2.4102,-23.4207650273224
"55",1996.59836065574,2.2239,-23.4016393442623
"56",1996.6174863388,1.9548,-23.3825136612022
"57",1996.68032786885,2.1339,-23.3196721311476
"58",1997.53698630137,2.3922,-22.4630136986302
"59",1997.54246575342,2.07,-22.4575342465753
