"","dates","areas","time"
"1",1989.40821917808,2.1636,-30.5917808219178
"2",1993.43835616438,2.1411,-26.5616438356165
"3",1993.61369863014,1.6389,-26.3863013698631
"4",1993.74520547945,1.3401,-26.2547945205479
"5",1994.4904109589,1.8477,-25.509589041096
"6",1994.66575342466,1.2843,-25.3342465753424
"7",1996.68032786885,1.2996,-23.3196721311476
"8",1996.72404371585,1.2915,-23.2759562841529
"9",1997.68767123288,1.3464,-22.3123287671233
"10",1998.60821917808,1.5543,-21.3917808219178
"11",1998.69589041096,1.3833,-21.304109589041
"12",1998.7397260274,1.6974,-21.2602739726028
"13",2000.3825136612,2.1708,-19.6174863387978
"14",2000.51366120219,1.7802,-19.4863387978141
"15",2000.64480874317,1.3662,-19.3551912568305
"16",2001.56438356164,1.4472,-18.4356164383562
"17",2002.44109589041,2.1213,-17.5589041095891
"18",2002.6602739726,1.3473,-17.3397260273973
"19",2003.53698630137,1.6416,-16.4630136986302
"20",2003.66849315068,1.3545,-16.331506849315
"21",2003.71232876712,1.8207,-16.2876712328766
"22",2004.36885245902,2.187,-15.6311475409836
"23",2004.45628415301,2.0709,-15.5437158469945
"24",2005.41917808219,2.187,-14.5808219178082
"25",2005.50684931507,2.061,-14.4931506849316
"26",2005.55068493151,1.7388,-14.4493150684932
"27",2005.59452054795,1.5174,-14.4054794520548
"28",2005.63835616438,1.413,-14.3616438356164
"29",2005.68219178082,1.2573,-14.317808219178
"30",2005.72602739726,0.6417,-14.2739726027398
"31",2005.94520547945,2.016,-14.0547945205481
"32",2006.51506849315,1.5768,-13.4849315068493
"33",2006.55890410959,1.4193,-13.4410958904109
"34",2006.60273972603,1.2969,-13.3972602739725
"35",2006.64657534247,1.3005,-13.3534246575343
"36",2007.08493150685,2.1546,-12.9150684931508
"37",2007.30410958904,2.1861,-12.695890410959
"38",2007.43561643836,2.0763,-12.5643835616438
"39",2007.52328767123,1.6182,-12.4767123287672
"40",2007.65479452055,0.9864,-12.345205479452
"41",2007.69863013699,1.3248,-12.3013698630136
"42",2007.74246575342,1.2087,-12.2575342465752
"43",2007.78630136986,1.2465,-12.2136986301371
"44",2008.37704918033,2.1276,-11.622950819672
"45",2008.44262295082,1.9269,-11.5573770491803
"46",2008.48633879781,1.6101,-11.5136612021859
"47",2008.50819672131,1.4337,-11.4918032786886
"48",2008.5737704918,1.2879,-11.4262295081967
"49",2008.70491803279,1.3122,-11.295081967213
"50",2008.92349726776,2.0808,-11.0765027322404
