"","dates","areas","time"
"1",1984.2650273224,3.6558,-35.7349726775956
"2",1984.37704918033,3.4515,-35.622950819672
"3",1984.39617486339,3.1644,-35.6038251366119
"4",1984.40163934426,3.0798,-35.5983606557377
"5",1984.42076502732,2.6658,-35.5792349726776
"6",1984.70765027322,1.4508,-35.2923497267759
"7",1985.4904109589,1.9629,-34.509589041096
"8",1985.55890410959,1.017,-34.4410958904109
"9",1986.19726027397,3.7089,-33.8027397260273
"10",1986.4602739726,2.6568,-33.5397260273974
"11",1986.47945205479,2.4291,-33.5205479452054
"12",1986.52328767123,2.394,-33.4767123287672
"13",1986.54794520548,1.8126,-33.4520547945206
"14",1986.56712328767,1.0359,-33.4328767123288
"15",1986.65479452055,1.3797,-33.345205479452
"16",1987.41917808219,3.6567,-32.5808219178082
"17",1987.53150684932,2.4723,-32.4684931506849
"18",1987.77534246575,1.8171,-32.2246575342465
"19",1988.43169398907,3.0204,-31.5683060109291
"20",1988.51366120219,1.8621,-31.4863387978141
"21",1988.53825136612,0.9216,-31.4617486338798
"22",1988.60655737705,1.0395,-31.3934426229507
"23",1989.76438356164,1.9773,-30.2356164383561
"24",1990.44109589041,3.1995,-29.5589041095891
"25",1990.46575342466,3.1248,-29.5342465753424
"26",1990.53424657534,2.4588,-29.4657534246576
"27",1991.31780821918,3.7116,-28.682191780822
"28",1991.58082191781,1.764,-28.4191780821918
"29",1991.58630136986,1.6974,-28.4136986301369
"30",1992.41803278689,3.4083,-27.5819672131147
"31",1993.55616438356,2.2797,-26.4438356164383
"32",1993.6,1.8765,-26.4000000000001
"33",1993.73150684932,2.4012,-26.2684931506849
"34",1993.7698630137,2.025,-26.2301369863014
"35",1994.3397260274,3.5352,-25.6602739726027
"36",1994.60821917808,1.6065,-25.3917808219178
"37",1994.62739726027,1.6407,-25.3726027397261
"38",1994.64657534247,1.4283,-25.3534246575343
"39",1994.67123287671,2.6226,-25.3287671232877
"40",1995.57260273973,2.1204,-24.4273972602739
"41",1995.67945205479,1.4139,-24.3205479452056
"42",1995.78630136986,2.0529,-24.2136986301371
"43",1996.59836065574,1.0341,-23.4016393442623
"44",1997.53698630137,2.0952,-22.4630136986302
"45",1998.65753424658,1.143,-21.3424657534247
"46",1999.61917808219,2.394,-20.3808219178081
"47",1999.71232876712,0.6327,-20.2876712328766
"48",1999.73150684932,0.5904,-20.2684931506849
"49",2000.56284153005,1.8081,-19.4371584699454
"50",2000.73770491803,1.1502,-19.2622950819673
"51",2000.82513661202,1.2006,-19.1748633879781
"52",2001.48219178082,2.2194,-18.5178082191781
"53",2001.63287671233,0.9693,-18.3671232876711
"54",2001.7698630137,2.9439,-18.2301369863014
"55",2002.29589041096,3.5703,-17.7041095890411
"56",2002.40273972603,3.2346,-17.5972602739726
"57",2002.42191780822,2.9682,-17.5780821917808
"58",2002.53424657534,1.7181,-17.4657534246576
"59",2002.55342465753,1.5993,-17.4465753424658
"60",2002.57808219178,1.4256,-17.4219178082192
"61",2002.60273972603,1.188,-17.3972602739725
"62",2002.62191780822,0.4968,-17.3780821917808
"63",2002.6904109589,1.0188,-17.3095890410959
"64",2003.17260273973,2.1105,-16.827397260274
"65",2003.39178082192,3.6063,-16.6082191780822
"66",2003.56164383562,0.6291,-16.4383561643835
