"","dates","areas","time"
"1",1989.40821917808,3.7287,-30.5917808219178
"2",1990.24109589041,3.69,-29.7589041095891
"3",1993.74520547945,2.5893,-26.2547945205479
"4",1994.35890410959,3.7638,-25.641095890411
"5",1994.40273972603,3.7323,-25.5972602739726
"6",1994.57808219178,3.0555,-25.4219178082192
"7",1995.14794520548,2.5776,-24.8520547945207
"8",1995.36712328767,3.7062,-24.6328767123289
"9",1996.68032786885,2.6406,-23.3196721311476
"10",1996.72404371585,2.3589,-23.2759562841529
"11",1998.7397260274,2.6811,-21.2602739726028
"12",1998.78356164384,2.4048,-21.2164383561644
"13",2000.90710382514,1.9566,-19.0928961748634
"14",2002.04657534247,1.9251,-17.9534246575342
"15",2002.44109589041,3.753,-17.5589041095891
"16",2002.6602739726,2.9844,-17.3397260273973
"17",2003.66849315068,2.9385,-16.331506849315
"18",2005.68219178082,2.4147,-14.317808219178
"19",2005.72602739726,2.4543,-14.2739726027398
"20",2006.29589041096,3.4524,-13.7041095890411
"21",2006.60273972603,2.6487,-13.3972602739725
"22",2006.64657534247,2.7225,-13.3534246575343
"23",2006.6904109589,2.7999,-13.3095890410959
"24",2007.65479452055,2.6964,-12.345205479452
"25",2007.69863013699,2.3616,-12.3013698630136
"26",2007.74246575342,2.2941,-12.2575342465752
"27",2008.50819672131,3.1041,-11.4918032786886
"28",2008.5737704918,2.5452,-11.4262295081967
"29",2008.66120218579,2.7081,-11.3387978142077
"30",2008.70491803279,2.5902,-11.295081967213
"31",2010.41369863014,3.5838,-9.58630136986312
"32",2010.87397260274,2.1105,-9.12602739726026
"33",2011.31232876712,3.7053,-8.68767123287671
"34",2011.61917808219,3.1149,-8.38082191780813
"35",2011.64109589041,2.6676,-8.35890410958905
"36",2011.68493150685,2.484,-8.31506849315065
"37",2011.75068493151,2.4039,-8.24931506849316
"38",2012.64754098361,2.7666,-7.35245901639337
"39",2012.6912568306,2.7657,-7.30874316939889
"40",2012.99726775956,1.7478,-7.00273224043713
"41",2013.3698630137,3.7413,-6.6301369863013
"42",2013.56712328767,3.2805,-6.43287671232883
"43",2013.58904109589,2.8638,-6.41095890410952
"44",2013.61095890411,2.5767,-6.38904109589043
"45",2013.65479452055,2.5749,-6.34520547945203
"46",2013.74246575342,2.0151,-6.25753424657523
"47",2013.76438356164,1.9098,-6.23561643835615
"48",2013.78630136986,2.1645,-6.21369863013706
"49",2013.85205479452,2.3643,-6.14794520547935
"50",2013.89589041096,1.9215,-6.10410958904117
"51",2014.02739726027,1.8621,-5.97260273972597
"52",2014.15890410959,2.9673,-5.841095890411
"53",2014.24657534247,3.5955,-5.7534246575342
"54",2014.59726027397,2.9232,-5.40273972602745
"55",2014.70684931507,2.5164,-5.29315068493156
"56",2014.99178082192,2.7513,-5.0082191780823
"57",2015.03561643836,2.8143,-4.9643835616439
"58",2015.21095890411,3.5298,-4.7890410958903
"59",2015.34246575342,3.762,-4.65753424657532
"60",2015.38630136986,3.7467,-4.61369863013692
"61",2015.60547945205,2.8008,-4.39452054794515
"62",2015.62739726027,2.4039,-4.37260273972606
"63",2015.75890410959,2.4408,-4.24109589041086
"64",2015.95616438356,1.7118,-4.0438356164384
"65",2016.04371584699,2.0988,-3.95628415300553
"66",2016.08743169399,2.142,-3.91256830601083
"67",2016.17486338798,3.0276,-3.82513661202188
"68",2016.34972677596,3.7413,-3.65027322404376
"69",2016.65573770492,2.6325,-3.34426229508199
"70",2016.69945355191,2.0844,-3.30054644808752
"71",2016.72131147541,2.3724,-3.27868852459005
"72",2016.74316939891,2.2041,-3.25683060109282
"73",2017.18082191781,3.2256,-2.81917808219168
"74",2017.22465753425,3.7638,-2.77534246575351
"75",2017.26849315068,3.7017,-2.73150684931511
"76",2017.31232876712,3.7269,-2.68767123287671
"77",2017.61917808219,2.8809,-2.38082191780813
"78",2018.05753424658,1.8927,-1.94246575342459
"79",2018.10136986301,2.2707,-1.89863013698641
"80",2018.14520547945,2.9835,-1.85479452054801
"81",2018.27671232877,3.6891,-1.72328767123281
"82",2018.40821917808,3.753,-1.59178082191784
"83",2018.58356164384,3.0645,-1.41643835616446
"84",2018.62739726027,2.6298,-1.37260273972606
"85",2018.64931506849,2.5623,-1.35068493150675
"86",2018.71506849315,3.0177,-1.28493150684926
"87",2019.06575342466,3.4434,-0.934246575342513
"88",2019.1095890411,2.9088,-0.890410958904113
"89",2019.19726027397,3.7323,-0.802739726027312
"90",2019.32876712329,3.7521,-0.671232876712338
"91",2019.35068493151,3.7638,-0.649315068493252
"92",2019.4602739726,3.7404,-0.539726027397364
"93",2019.61369863014,2.6478,-0.386301369863077
"94",2019.65753424658,2.4282,-0.342465753424676
"95",2019.67945205479,2.4147,-0.32054794520559
"96",2019.70136986301,2.2131,-0.298630136986276
"97",2019.72328767123,2.0493,-0.276712328767189
"98",2019.81095890411,2.7603,-0.189041095890389
"99",2019.85479452055,2.3805,-0.145205479451988
"100",2019.98630136986,1.6623,-0.0136986301370143
