"","dates","areas","time"
"1",1986.56164383562,12.4515,-33.4383561643835
"2",1987.02465753425,8.1855,-32.9753424657533
"3",1987.74520547945,11.5794,-32.2547945205479
"4",1987.7698630137,10.6362,-32.2301369863014
"5",1987.90136986301,8.2224,-32.0986301369862
"6",1988.48907103825,15.0921,-31.5109289617487
"7",1988.79508196721,12.2013,-31.204918032787
"8",1988.95081967213,8.6706,-31.049180327869
"9",1988.99453551913,8.3052,-31.0054644808743
"10",1989.01369863014,8.4294,-30.986301369863
"11",1989.08219178082,9.6318,-30.9178082191781
"12",1989.58356164384,10.3644,-30.4164383561645
"13",1989.69589041096,12.5811,-30.304109589041
"14",1989.7397260274,11.142,-30.2602739726028
"15",1990.35342465753,15.2316,-29.6465753424657
"16",1990.6602739726,13.0068,-29.3397260273973
"17",1990.94246575342,8.0343,-29.0575342465754
"18",1991.38082191781,13.6602,-28.6191780821919
"19",1991.51232876712,12.0591,-28.4876712328767
"20",1991.62465753425,10.3149,-28.3753424657534
"21",1991.66849315068,12.4038,-28.331506849315
"22",1991.97534246575,7.3683,-28.0246575342467
"23",1992.43169398907,15.6978,-27.5683060109291
"24",1992.60655737705,13.9059,-27.3934426229507
"25",1992.82513661202,11.1006,-27.1748633879781
"26",1993.98904109589,8.1864,-26.0109589041097
"27",1994.00821917808,6.7617,-25.9917808219177
"28",1994.88493150685,8.802,-25.1150684931506
"29",1995.21643835616,11.8845,-24.7835616438356
"30",1995.41095890411,13.5819,-24.5890410958905
"31",1995.6301369863,12.4596,-24.3698630136987
"32",1995.67397260274,8.4546,-24.3260273972603
"33",1995.69863013699,10.8189,-24.3013698630136
"34",1995.74246575342,10.7235,-24.2575342465752
"35",1995.87397260274,8.6499,-24.1260273972603
"36",1996.6174863388,9.3636,-23.3825136612022
"37",1996.72404371585,9.0558,-23.2759562841529
"38",1997.55616438356,11.9574,-22.4438356164383
"39",1997.58082191781,10.5039,-22.4191780821918
"40",1997.77534246575,9.6579,-22.2246575342465
"41",1997.97534246575,6.4359,-22.0246575342467
"42",1998.30136986301,12.2229,-21.6986301369864
"43",1998.63287671233,15.5394,-21.3671232876711
"44",1998.7397260274,10.134,-21.2602739726028
"45",1998.76438356164,9.5247,-21.2356164383561
"46",1998.82739726027,8.6994,-21.172602739726
"47",1998.85205479452,7.8381,-21.1479452054793
"48",1998.89589041096,7.2522,-21.1041095890412
"49",1999.35342465753,12.3039,-20.6465753424657
"50",1999.48493150685,11.7378,-20.5150684931507
"51",1999.55068493151,13.8492,-20.4493150684932
"52",1999.55342465753,12.8322,-20.4465753424658
