"","dates","areas","time"
"1",1984.82786885246,0.5256,-35.172131147541
"2",1984.95901639344,0.4905,-35.0409836065573
"3",1986.05479452055,0.3744,-33.9452054794519
"4",1986.58082191781,0.4464,-33.4191780821918
"5",1986.8,0.4536,-33.2
"6",1987.10684931507,0.315,-32.8931506849315
"7",1987.15068493151,0.1971,-32.8493150684931
"8",1987.3698630137,0.2349,-32.6301369863013
"9",1987.41369863014,0.2745,-32.5863013698631
"10",1987.45753424658,0.3753,-32.5424657534247
"11",1995.07945205479,0.3339,-24.9205479452055
"12",1995.21095890411,0.2394,-24.7890410958903
"13",1995.25479452055,0.2376,-24.7452054794521
"14",1995.38630136986,0.3978,-24.6136986301369
"15",2000.0956284153,0.2772,-19.9043715846994
"16",2000.1393442623,0.18,-19.860655737705
"17",2001.10136986301,0.207,-18.8986301369864
"18",2001.18904109589,0.081,-18.8109589041096
"19",2001.27671232877,0.3582,-18.7232876712328
"20",2001.62739726027,0.2907,-18.3726027397261
"21",2001.93424657534,0.4104,-18.0657534246575
"22",2002.1095890411,0.1314,-17.8904109589041
"23",2002.41643835616,0.2907,-17.5835616438355
"24",2002.63561643836,0.1701,-17.3643835616438
"25",2002.81095890411,0.3195,-17.1890410958904
"26",2003.0301369863,0.2511,-16.9698630136986
"27",2003.38082191781,0.3969,-16.6191780821919
"28",2003.55616438356,0.2061,-16.4438356164383
"29",2003.95068493151,0.2763,-16.0493150684931
"30",2004.38797814208,0.1584,-15.6120218579235
"31",2004.69398907104,0.2223,-15.3060109289618
"32",2005,0.2232,-15
"33",2005.04383561644,0.1494,-14.9561643835616
"34",2005.13150684931,0.1575,-14.868493150685
"35",2005.17534246575,0.045,-14.8246575342466
"36",2005.52602739726,0.1611,-14.4739726027397
"37",2005.65753424658,0.1701,-14.3424657534247
"38",2005.74520547945,0.2151,-14.2547945205479
"39",2005.87671232877,0.3438,-14.1232876712329
"40",2005.96438356164,0.2016,-14.0356164383561
"41",2006.00821917808,0.1881,-13.9917808219177
"42",2006.09589041096,0.0693,-13.9041095890411
"43",2006.1397260274,0.1098,-13.8602739726027
"44",2007.10410958904,0.1971,-12.8958904109588
"45",2007.19178082192,0.1017,-12.8082191780823
"46",2007.23561643836,0.1305,-12.7643835616439
"47",2007.36712328767,0.1143,-12.6328767123289
"48",2007.6301369863,0.5562,-12.3698630136987
"49",2007.93698630137,0.2268,-12.0630136986301
"50",2008.3306010929,0.2169,-11.6693989071039
"51",2008.72404371585,0.2151,-11.2759562841529
"52",2009.07397260274,0.3618,-10.9260273972602
"53",2009.11780821918,0.1305,-10.8821917808218
"54",2009.20547945205,0.081,-10.7945205479452
"55",2009.42465753425,0.2754,-10.5753424657535
"56",2009.44657534247,0.1566,-10.5534246575342
"57",2009.64383561644,0.1674,-10.3561643835617
"58",2009.68767123288,0.1989,-10.3123287671233
"59",2009.73150684932,0.1683,-10.2684931506849
"60",2009.88493150685,0.2394,-10.1150684931506
"61",2010.10410958904,0.2196,-9.89589041095883
"62",2010.1698630137,0.1674,-9.83013698630134
"63",2010.25753424658,0.1638,-9.74246575342477
"64",2010.30136986301,0.1278,-9.69863013698637
"65",2011.00273972603,0.18,-8.99726027397264
