"","dates","areas","time"
"1",1999.6,9.1494,-20.4000000000001
"2",1999.86301369863,9.7146,-20.1369863013699
"3",1999.95068493151,9.2169,-20.0493150684931
"4",2000.43169398907,8.3304,-19.5683060109291
"5",2000.95628415301,10.1115,-19.0437158469945
"6",2001.04383561644,9.7551,-18.9561643835616
"7",2001.13150684931,8.1909,-18.868493150685
"8",2001.17534246575,9.2628,-18.8246575342466
"9",2001.21917808219,7.7535,-18.7808219178082
"10",2001.26301369863,8.5743,-18.7369863013698
"11",2001.43835616438,8.1432,-18.5616438356165
"12",2001.65753424658,9.8352,-18.3424657534247
"13",2002.05205479452,8.4627,-17.9479452054795
"14",2002.18356164384,7.4052,-17.8164383561643
"15",2002.22739726027,8.0532,-17.7726027397259
"16",2002.35890410959,6.7572,-17.641095890411
"17",2002.57808219178,8.7669,-17.4219178082192
"18",2003.01643835616,10.0701,-16.9835616438356
"19",2003.14794520548,10.1718,-16.8520547945207
"20",2003.19178082192,8.5356,-16.8082191780823
"21",2003.27945205479,7.5663,-16.7205479452055
"22",2003.36712328767,8.2386,-16.6328767123289
"23",2003.58630136986,8.2332,-16.4136986301369
"24",2003.76438356164,8.6598,-16.2356164383561
"25",2003.78356164384,11.1393,-16.2164383561644
"26",2003.89315068493,9.9558,-16.1068493150685
"27",2003.89589041096,10.2465,-16.1041095890412
"28",2003.91506849315,10.8927,-16.0849315068492
"29",2004.09016393443,9.0063,-15.9098360655737
"30",2004.24316939891,7.6356,-15.7568306010928
"31",2004.2650273224,8.6049,-15.7349726775956
"32",2004.3087431694,7.4853,-15.6912568306011
"33",2004.33333333333,7.8381,-15.6666666666667
"34",2004.37431693989,7.1154,-15.6256830601094
"35",2004.37704918033,6.9606,-15.622950819672
"36",2004.43989071038,7.9632,-15.5601092896175
"37",2004.52732240437,8.4564,-15.4726775956285
"38",2004.65846994536,9.9369,-15.3415300546449
"39",2004.68032786885,9.5121,-15.3196721311476
"40",2004.85519125683,9.7272,-15.1448087431695
"41",2005.07397260274,8.9451,-14.9260273972602
