"","dates","areas","time"
"1",1984.2650273224,3.7197,-35.7349726775956
"2",1984.37704918033,3.7809,-35.622950819672
"3",1984.39617486339,3.5109,-35.6038251366119
"4",1984.40163934426,3.4245,-35.5983606557377
"5",1984.42076502732,3.2211,-35.5792349726776
"6",1984.70765027322,1.5012,-35.2923497267759
"7",1985.4904109589,2.5677,-34.509589041096
"8",1985.51506849315,1.9701,-34.4849315068493
"9",1985.55890410959,1.3932,-34.4410958904109
"10",1986.19726027397,3.8538,-33.8027397260273
"11",1986.4602739726,3.06,-33.5397260273974
"12",1986.47945205479,2.9025,-33.5205479452054
"13",1986.54794520548,2.2545,-33.4520547945206
"14",1986.56712328767,1.8243,-33.4328767123288
"15",1986.67397260274,1.8729,-33.3260273972603
"16",1987.53150684932,3.0168,-32.4684931506849
"17",1987.77534246575,1.1448,-32.2246575342465
"18",1988.43169398907,3.3705,-31.5683060109291
"19",1988.51366120219,2.151,-31.4863387978141
"20",1988.60655737705,0.8172,-31.3934426229507
"21",1989.76438356164,2.1546,-30.2356164383561
"22",1990.44109589041,3.4542,-29.5589041095891
"23",1990.46575342466,3.0897,-29.5342465753424
"24",1990.53424657534,2.9511,-29.4657534246576
"25",1991.31780821918,3.9483,-28.682191780822
"26",1991.58082191781,2.1627,-28.4191780821918
"27",1991.58630136986,1.9953,-28.4136986301369
"28",1992.41803278689,3.7107,-27.5819672131147
"29",1993.55068493151,2.4876,-26.4493150684932
"30",1993.6,2.2068,-26.4000000000001
"31",1993.73150684932,2.7765,-26.2684931506849
"32",1993.7698630137,2.1393,-26.2301369863014
"33",1994.3397260274,3.7278,-25.6602739726027
"34",1994.60821917808,1.8549,-25.3917808219178
"35",1994.62739726027,1.5084,-25.3726027397261
"36",1994.64657534247,1.8333,-25.3534246575343
"37",1994.67123287671,2.7468,-25.3287671232877
"38",1995.57260273973,2.2842,-24.4273972602739
"39",1995.67945205479,1.5714,-24.3205479452056
"40",1995.78630136986,1.4652,-24.2136986301371
"41",1997.53698630137,2.0727,-22.4630136986302
"42",1997.54246575342,1.557,-22.4575342465753
"43",1997.67397260274,0.5931,-22.3260273972603
"44",1998.65753424658,1.1034,-21.3424657534247
"45",1999.71232876712,0.5427,-20.2876712328766
"46",1999.73150684932,0.4743,-20.2684931506849
"47",2000.49453551913,3.1887,-19.5054644808743
"48",2000.56284153005,2.1933,-19.4371584699454
