"","dates","areas","time"
"1",1999.59452054795,6.3585,-20.4054794520548
"2",2000.6693989071,7.1541,-19.3306010928961
"3",2001.28219178082,14.9013,-18.7178082191781
"4",2001.3698630137,14.8959,-18.6301369863013
"5",2001.63287671233,5.5899,-18.3671232876711
"6",2001.85205479452,10.7586,-18.1479452054793
"7",2002.52876712329,11.7963,-17.4712328767123
"8",2002.59726027397,8.7525,-17.4027397260274
"9",2002.64109589041,7.2828,-17.358904109589
"10",2003.56164383562,5.4711,-16.4383561643835
"11",2003.58082191781,6.7725,-16.4191780821918
"12",2003.62465753425,5.4729,-16.3753424657534
"13",2003.8,10.3518,-16.2
"14",2003.95616438356,4.8483,-16.0438356164384
"15",2004.06284153005,8.1081,-15.9371584699454
"16",2004.36885245902,12.5802,-15.6311475409836
"17",2004.45628415301,11.0376,-15.5437158469945
"18",2004.65573770492,3.9357,-15.344262295082
"19",2004.69945355191,3.3633,-15.3005464480875
"20",2004.74316939891,5.6403,-15.2568306010928
"21",2004.80601092896,9.0387,-15.1939890710382
"22",2004.8306010929,7.596,-15.1693989071039
"23",2005.35616438356,9.387,-14.6438356164383
"24",2005.41917808219,12.2184,-14.5808219178082
"25",2005.50684931507,8.0352,-14.4931506849316
"26",2005.55068493151,6.4953,-14.4493150684932
"27",2005.59452054795,6.1605,-14.4054794520548
"28",2005.61917808219,3.663,-14.3808219178081
"29",2005.70684931507,5.0715,-14.2931506849316
"30",2005.72602739726,6.1749,-14.2739726027398
"31",2006.29589041096,13.1229,-13.7041095890411
"32",2006.32054794521,8.3898,-13.6794520547944
"33",2006.36438356164,8.1459,-13.6356164383562
"34",2006.55890410959,6.6411,-13.4410958904109
"35",2006.58356164384,3.8322,-13.4164383561645
"36",2006.60273972603,5.985,-13.3972602739725
"37",2006.64657534247,5.0067,-13.3534246575343
"38",2006.73424657534,8.7795,-13.2657534246575
"39",2007.50410958904,5.7654,-12.495890410959
"40",2007.59178082192,5.1075,-12.4082191780822
"41",2007.63561643836,3.6981,-12.3643835616438
"42",2007.67945205479,4.6863,-12.3205479452056
"43",2007.69863013699,4.4874,-12.3013698630136
"44",2007.78630136986,9.6615,-12.2136986301371
"45",2007.8301369863,8.8308,-12.1698630136987
"46",2008.42349726776,6.7653,-11.5765027322404
"47",2008.46721311475,5.4378,-11.532786885246
"48",2008.5737704918,5.1768,-11.4262295081967
"49",2008.64207650273,3.1617,-11.3579234972678
"50",2008.68579234973,4.3848,-11.3142076502731
"51",2008.70491803279,4.9896,-11.295081967213
"52",2008.94808743169,5.499,-11.0519125683061
"53",2009.40547945205,13.2417,-10.5945205479452
"54",2009.44931506849,12.1464,-10.5506849315068
"55",2009.56164383562,5.8428,-10.4383561643835
